DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 526309145046497536', 0.010708, 12.066036, 67.202641, 0.260400, 0.037100,-2.300000,-0.032000, 15.807700, 0.471100,
b'Gaia DR2 526309140750605696', 0.010999, 12.067400, 67.196075, 0.245700, 0.259700,-2.039000,-0.046000, 18.996300, 0.730400,
b'Gaia DR2 526309041959289216', 0.011002, 12.059921, 67.191163, 0.924700, 0.416100, 1.117000,-0.551000, 19.609200, 0.922400,
b'Gaia DR2 526309209466581888', 0.011475, 12.026415, 67.209192, 0.107600, 0.410400,-1.799000,-0.438000, 19.641100, 0.883100,
b'Gaia DR2 526309175110341248', 0.011535, 12.042965, 67.210481, 0.321400, 0.379100,-0.990000,-0.108000, 19.446800, 0.702100,
b'Gaia DR2 526309041967295616', 0.011615, 12.041213, 67.187399, 0.536400, 0.077000,-4.132000,-1.110000, 17.116600, 0.777200,
b'Gaia DR2 526309145046507776', 0.011711, 12.067050, 67.193768, 0.415700, 0.187300, 0.413000, 0.674000, 18.295500, 0.864600,
b'Gaia DR2 526309041967295488', 0.012075, 12.035478, 67.187054, 0.312300, 0.057900,-2.355000, 0.498000, 16.556700, 0.586700,
b'Gaia DR2 526309106387149056', 0.012099, 12.009456, 67.196609, 0.163700, 0.343700,-3.601000, 1.087000, 19.353900, 0.962100,
b'Gaia DR2 526308934588497024', 0.012193, 12.071199, 67.197341, 0.423200, 0.376000,-1.020000,-0.936000, 19.442600, 0.689900,
b'Gaia DR2 526309179406236928', 0.012258, 12.070673, 67.202071, 0.337300, 0.061100,-2.444000,-0.136000, 16.745300, 0.571600,
b'Gaia DR2 526309175103187456', 0.012333, 12.040170, 67.211333, 0.690600, 0.453100,-2.642000, 0.474000, 19.790800, 0.755900,
b'Gaia DR2 526309110678724736', 0.012510, 12.009308, 67.202819, 0.478500, 0.227800,-2.884000,-0.558000, 18.670500,,
b'Gaia DR2 526309106387170688', 0.012547, 12.007980, 67.200709, 0.271000, 0.186800,-3.229000,-0.289000, 18.436700, 0.838800,
b'Gaia DR2 526309110686754688', 0.012666, 12.009319, 67.203320, 0.399800, 0.109700,-2.356000,-0.127000, 17.577500, 0.617100,
b'Gaia DR2 526308938880071552', 0.012739, 12.069304, 67.193204, 0.491500, 0.243700,-1.663000,-0.741000, 18.761700, 0.780800,
b'Gaia DR2 526309076327031424', 0.012881, 12.016509, 67.189909, 0.327200, 0.028100,-2.497000, 0.027000, 14.929600, 0.462900,
b'Gaia DR2 526309037667633280', 0.013408, 12.064939, 67.189696, 0.275400, 0.128200,-0.946000, 0.239000, 17.968600, 0.769300,
b'Gaia DR2 526309076319024768', 0.013586, 12.016068, 67.189089, 0.984500, 0.444200,-1.900000, 0.439000, 19.558000, 0.205500,
b'Gaia DR2 526309213765963264', 0.013588, 12.032028, 67.212228, 0.334200, 0.020900,-2.483000, 0.096000, 14.433300, 0.465400,
b'Gaia DR2 526308938888071552', 0.013635, 12.075219, 67.199329, 0.192600, 0.030900,-2.193000, 1.424000, 14.419400, 1.293800,
b'Gaia DR2 526308934588451968', 0.014213, 12.075353, 67.195160, 0.497000, 0.092600,-2.310000, 0.043000, 17.374400, 0.681300,
b'Gaia DR2 526309106387196800', 0.014644, 12.005108, 67.204578, 0.454700, 0.156600,-2.911000,-0.011000, 18.142500, 0.687800,
b'Gaia DR2 526309003307869440', 0.014695, 12.025851, 67.185378, 0.320200, 0.271900,-3.188000,-0.422000, 19.097700, 1.005500,
b'Gaia DR2 526308973247806208', 0.014783, 12.076845, 67.202902, 0.331300, 0.059500,-2.514000, 0.095000, 16.781400, 0.574900,
b'Gaia DR2 526309110678720256', 0.015182, 12.003584, 67.204547,-0.352500, 0.368100,-3.319000,-0.302000, 19.052600, 0.833200,
b'Gaia DR2 526309003307861120', 0.015286, 12.039516, 67.183718, 0.293000, 0.118800,-2.536000,-0.148000, 17.806400, 0.866600,
b'Gaia DR2 526309041959305088', 0.015566, 12.056298, 67.184769, 0.019800, 0.402400,-1.065000, 0.076000, 18.620700,,
b'Gaia DR2 526309072027381888', 0.015586, 12.005899, 67.190771, 0.452500, 0.058500,-2.396000,-0.124000, 16.609700, 0.599100,
b'Gaia DR2 526309041967298304', 0.015764, 12.056082, 67.184520, 0.088900, 0.165800,-1.797000,-0.988000, 16.672900, 0.762800,
b'Gaia DR2 526309179398197504', 0.015892, 12.071883, 67.209024, 0.330000, 0.167000,-2.895000, 0.164000, 18.352000, 0.873100,
