Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
LCC-1                 ;Cru ;185.76250000 ;-64.1255560 ;Op   ;OB    ;  270.0;    107;        ;        ;        ; Alessi              ;in OPD 3
Theia 857             ;Cru ;188.61702620 ;-59.9228917 ;Op   ;Str   ; 1981.6;    688;  -12.31;   -1.89;    0.17; 2019AJ....158..122K ;3 condensations
Theia 954             ;Cru ;193.54393780 ;-62.3487839 ;Op   ;MG    ; 1708.5;    591;  -18.76;   -3.68;   -7.11; 2019AJ....158..122K ;check
FoF 327               ;Cyg ;300.10867340 ;+30.3700563 ;Op   ;Asc?  ;  232.7;   3984;   -2.71;   -5.13;        ; arXiv:1910.12600v1  ;includes several Cls
Cyg OB3A              ;Cyg ;301.76021950 ;+35.6506604 ;Op   ;OC    ;  101.8;   1972;   -3.10;   -6.38;        ; Alessi (Gaia DR2)   ;poss matches: FSR 198, Biurakan 1, NGC 6871, Biurakan 2
Cyg OB3B              ;Cyg ;301.94281470 ;+36.5020571 ;Op   ;OC    ;   58.9;   2237;   -2.58;   -5.39;        ; Alessi (Gaia DR2)   ;poss matches: NGC 6871, UBC 367, UBC 368
Theia 490             ;Cyg ;303.02129630 ;+49.0690866 ;Op   ;Str   ;  983.7;    784;   -1.50;  -10.37;  -13.03; 2019AJ....158..122K ;3 condensations
Cyg OB1               ;Cyg ;304.74712660 ;+37.8883811 ;Op   ;OC    ;  277.4;   1779;   -3.04;   -5.47;        ; Alessi (Gaia DR2)   ;Fposs matches: oF 2179, FoF 2178, UBC 375, UBC 371, UBC 368
Theia 197             ;Cyg ;305.74038740 ;+30.2599725 ;Op   ;Asc   ;  728.4;    802;    3.21;    1.33;  -19.16; 2019AJ....158..122K ;3 condensations
Cyg OB9               ;Cyg ;305.90784990 ;+39.9044685 ;Op   ;OC    ;  187.6;   1590;   -2.77;   -5.09;        ; Alessi (Gaia DR2)   ;poss matches: FoF 2179, UBC 375, FoF 2182, FoF 503
Theia 96              ;Cyg ;307.43994690 ;+49.2633504 ;Op   ;Str   ; 3311.8;    315;    4.17;    1.80;  -13.00; 2019AJ....158..122K ;check
Cyg OB2               ;Cyg ;308.18293890 ;+41.3848889 ;Op   ;OC    ;   42.1;   1637;   -2.66;   -4.25;        ; Alessi (Gaia DR2)   ;Contains FSR 238, Bica 1, Bica 2, Santa 194
Theia 391             ;Cyg ;310.02638860 ;+54.4210077 ;Op   ;Str   ; 3957.9;    563;    2.81;   -1.59;  -12.42; 2019AJ....158..122K ;larger than 1 radian
Theia 98              ;Cyg ;311.17192300 ;+44.6151293 ;Op   ;Str   ; 1090.4;    454;    3.57;   -0.04;   -6.41; 2019AJ....158..122K ;3+ condensations
Theia 724             ;Cyg ;313.42701920 ;+41.9593251 ;Op   ;Str   ; 1352.7;    492;   -1.31;   -7.04;   -8.68; 2019AJ....158..122K ;check
Theia 158             ;Cyg ;315.59041580 ;+42.8223256 ;Op   ;Str   ; 1014.6;    895;   -1.29;   -3.43;   -1.54; 2019AJ....158..122K ;4 condensations
Theia 1               ;Cyg ;315.77767240 ;+50.8902092 ;Op   ;Asc   ;  453.8;    586;    1.40;   -3.68;  -21.63; 2019AJ....158..122K ;UPK 144 plus 1 cond
Theia 450             ;Cyg ;316.80346490 ;+48.1621342 ;Op   ;Str   ; 1355.9;    432;    1.32;   -3.30;  -14.49; 2019AJ....158..122K ;3 condensations
Cyg OB7               ;Cyg ;318.34296260 ;+47.6303729 ;Op   ;OC    ; 1107.4;    922;   -1.44;   -3.38;        ; Alessi (Gaia DR2)   ;poss matches: UPK 135, Theia 990, Theia 420, UPK 118
Theia 507             ;Cyg ;318.75820460 ;+49.7789435 ;Op   ;Str   ; 3662.2;     98;   82.66;   36.42;  -15.57; 2019AJ....158..122K ;larger than 1 radian
Theia 822             ;Cyg ;321.81065450 ;+48.3045830 ;Op   ;Str   ; 1684.9;    403;   -5.62;  -13.57;  -11.29; 2019AJ....158..122K ;check
Theia 421             ;Cyg ;321.97305410 ;+52.8121103 ;Op   ;Str   ; 1054.5;    842;   -4.63;   -5.32;  -11.40; 2019AJ....158..122K ;2 condensations
Theia 263             ;Cyg ;322.05882970 ;+39.5267948 ;Op   ;Str   ;  900.0;    643;    0.97;   -1.70;    0.03; 2019AJ....158..122K ;includes NGC 7063, UPK 136
Theia 1275            ;Cyg ;324.68931230 ;+47.0251375 ;Op   ;Str   ; 3329.5;    153;   37.66;   18.11;  -20.36; 2019AJ....158..122K ;2 condensations
Theia 1077            ;Dra ;140.66597460 ;+73.2568507 ;Op   ;MG    ; 3956.9;    776;    1.29;    0.91;   -8.04; 2019AJ....158..122K ;larger than 1 radian
Theia 426             ;Dra ;187.24368170 ;+75.7500997 ;Op   ;MG    ; 4093.3;    134;   50.48;   -0.81;   -8.60; 2019AJ....158..122K ;larger than 1 radian
