Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
Alessi_18             ;Pup ;114.29500000 ;-26.3860000 ;Op   ;OC    ;    2.3;   7937;  0.65;  9.01;   -1.26;    1.79;        ; 2020A&A...633A..99C ;
Alessi_19             ;Oph ;274.74100000 ;+12.3110000 ;Op   ;OC    ;   71.4;    585;  0.04;  7.90;   -1.00;   -7.07;        ; 2020A&A...633A..99C ;LeDrew 5
Alessi_2              ;Cam ; 71.60200000 ;+55.1990000 ;Op   ;OC    ;   66.5;    629;  0.15;  8.72;   -0.90;   -1.05;        ; 2020A&A...633A..99C ;LeDrew 4, Santa 25, UPK 320
Alessi_20             ;Cas ;  2.59300000 ;+58.7420000 ;Op   ;OC    ;   28.2;    433;  0.38;  7.26;    8.20;   -2.34;        ; 2020A&A...633A..99C ;Cas R2, FoF 2409
Alessi_204            ;CMa ;107.34375000 ;-12.0583333 ;Op   ;OB    ;   17.0;   1211;      ;  8.46;   -3.28;    0.92;        ; Alessi (Gaia DR2)   ;CMa OB1B
Alessi_21             ;Mon ;107.69000000 ; -9.3630000 ;Op   ;OC    ;   56.0;    581;  0.07;  7.72;   -5.47;    2.60;        ; 2020A&A...633A..99C ;Escorial 16, UPK 449, FoF 2410
Alessi_22             ;And ;357.02916670 ;+36.2050000 ;Op   ;OC    ;  170.0;    369;  0.16;  8.90;   -4.60;  -12.90;        ; Alessi (Gaia DR2)   ;V707 And, ?Theia 1106
Alessi_24             ;Ara ;260.76400000 ;-62.6930000 ;Op   ;OC    ;   55.9;    486;  0.25;  7.59;   -0.49;   -9.00;        ; 2020A&A...633A..99C ;ASCC 89, Theia 175, UPK 623, FoF 2389
Alessi_29             ;Ori ; 72.35833330 ;+10.6813889 ;Op   ;OC    ;   22.0;    422;  0.56;  7.10;   -1.24;   -1.90;        ; Alessi (Gaia DR2)   ;Loktin-Popova 15, condens in or part of NGC 1662
Alessi_3              ;Pup ;109.27500000 ;-46.1420000 ;Op   ;OC    ;  184.9;    280;  0.11;  8.73;   -9.88;   11.96;        ; 2020A&A...633A..99C ;Theia 1011, UPK 505, FoF 2434
Alessi_43             ;Vel ;132.63100000 ;-41.7380000 ;Op   ;OC    ;   34.8;    969;  0.23;  7.42;   -5.55;    3.87;        ; 2020A&A...633A..99C ;ASCC 50, FoF 2234
Alessi_45             ;Cru ;180.20000000 ;-61.3902778 ;Op   ;OC?   ;   26.0;   3275;      ;      ;   -7.16;    0.81;        ; Alessi (Gaia DR2)   ;
