TODO: get all the true references behind 'BDCC' and padronize them all to bibcode format

Name                     ; Reference           ;E(B-V);  log_t
ASCC 27                  ; 2016DAML            ; 0.09 ;  8.75 
ASCC 27                  ; Kharchenko+ 2013    ; 0.090;  8.700
ASCC 28                  ; 2016DAML            ; 0.05 ;  8.34 
ASCC 28                  ; Kharchenko+ 2013    ; 0.062;  8.490
ASCC 29                  ; 2016DAML            ; 0.05 ;  8.06 
ASCC 29                  ; 2019 Bossini        ; 0.077;  7.950
ASCC 29                  ; Kharchenko+ 2013    ; 0.050;  8.060
ASCC 3                   ; 2016DAML            ; 0.17 ;  7.90 
ASCC 3                   ; Kharchenko+ 2013    ; 0.250;  7.729
ASCC 30                  ; 2016DAML            ; 0.15 ;  8.20 
ASCC 30                  ; Kharchenko+ 2013    ; 0.146;  8.245
ASCC 31                  ; 2016DAML            ; 0.15 ;  8.63 
ASCC 31                  ; Kharchenko+ 2013    ; 0.104;  8.400
ASCC 32                  ; 2016DAML            ; 0.08 ;  8.18 
ASCC 32                  ; 2017AstBu..72..257L ; 0.073;  8.189
ASCC 32                  ; 2019 Bossini        ; 0.070;  7.404
ASCC 32                  ; Kharchenko+ 2013    ; 0.079;  8.215
ASCC 33                  ; 2016DAML            ; 0.05 ;  7.26 
ASCC 33                  ; Kharchenko+ 2013    ; 0.042;  7.700
ASCC 34                  ; 2016DAML            ; 0.04 ;  8.55 
ASCC 34                  ; Kharchenko+ 2013    ; 0.021;  8.530
ASCC 35                  ; 2016DAML            ; 0.06 ;  8.49 
ASCC 35                  ; Kharchenko+ 2013    ; 0.062;  8.480
ASCC 36                  ; 2016DAML            ; 0.00 ;  8.51 
ASCC 36                  ; 2020Alessi          ;      ;  8.51 
ASCC 36                  ; Kharchenko+ 2013    ; 0.000;  8.330
ASCC 37                  ; 2016DAML            ; 0.00 ;  8.73 
ASCC 37                  ; Kharchenko+ 2013    ; 0.125;  8.730
ASCC 38                  ; 2016DAML            ; 0.07 ;  8.60 
ASCC 38                  ; Kharchenko+ 2013    ; 0.071;  8.600
ASCC 39                  ; 2016DAML            ; 0.00 ;  8.71 
ASCC 39                  ; Kharchenko+ 2013    ; 0.208;  8.710
ASCC 4                   ; 2016DAML            ; 0.30 ;  8.34 
ASCC 4                   ; Kharchenko+ 2013    ; 0.250;  8.650
ASCC 40                  ; 2016DAML            ; 0.11 ;  8.58 
ASCC 40                  ; Kharchenko+ 2013    ; 0.416;  8.800
ASCC 41                  ; 2016DAML            ; 0.02 ;  8.44 
ASCC 41                  ; 2017AstBu..72..257L ; 0.020;  8.440
ASCC 41                  ; 2019 Bossini        ; 0.023;  8.040
ASCC 41                  ; Kharchenko+ 2013    ; 0.021;  8.700
ASCC 42                  ; 2016DAML            ; 0.10 ;  8.57 
ASCC 42                  ; 2017AstBu..72..257L ; 0.239;  8.791
ASCC 42                  ; 2019 Bossini        ; 0.135;  7.986
ASCC 42                  ; Kharchenko+ 2013    ; 0.167;  8.150
ASCC 43                  ; 2016DAML            ; 0.10 ;  8.28 
ASCC 43                  ; Kharchenko+ 2013    ; 0.062;  8.215
ASCC 44                  ; 2016DAML            ; 0.18 ;  7.89 
ASCC 44                  ; 2017AstBu..72..257L ; 0.264;  8.309
ASCC 44                  ; Kharchenko+ 2013    ; 0.271;  7.900
ASCC 45                  ; 2016DAML            ; 0.60 ;  7.12 
ASCC 45                  ; Kharchenko+ 2013    ; 0.600;  7.250
ASCC 46                  ; 2016DAML            ; 0.10 ;  7.71 
ASCC 46                  ; Kharchenko+ 2013    ; 0.100;  7.800
ASCC 47                  ; 2016DAML            ; 0.10 ;  7.88 
ASCC 47                  ; 2017AstBu..72..257L ; 0.339;  8.301
ASCC 47                  ; Kharchenko+ 2013    ; 0.125;  7.880
ASCC 48                  ; 2016DAML            ; 0.00 ;  9.09 
ASCC 48                  ; Kharchenko+ 2013    ; 0.000;  9.185
ASCC 49                  ; Kharchenko+ 2013    ; 0.021;  7.895
ASCC 5                   ; 2016DAML            ; 0.25 ;  7.03 
ASCC 5                   ; Kharchenko+ 2013    ; 0.021;  7.780
ASCC 50                  ; 2016DAML            ; 0.20 ;  7.48 
ASCC 50                  ; 2017AstBu..72..257L ; 0.554;  8.005
ASCC 50                  ; Kharchenko+ 2013    ; 0.229;  7.800
ASCC 51                  ; 2016DAML            ; 0.05 ;  8.53 
ASCC 51                  ; Kharchenko+ 2013    ; 0.104;  8.540
ASCC 52                  ; 2016DAML            ; 0.04 ;  8.75 
ASCC 52                  ; Kharchenko+ 2013    ; 0.895;  7.950
ASCC 53                  ; 2016DAML            ; 0.15 ;  8.12 
ASCC 53                  ; Kharchenko+ 2013    ; 0.750;  8.000
ASCC 54                  ; 2016DAML            ; 0.05 ;  8.84 
ASCC 54                  ; Kharchenko+ 2013    ; 0.104;  8.865
ASCC 55                  ; 2016DAML            ; 0.19 ;  8.45 
ASCC 55                  ; Kharchenko+ 2013    ; 0.208;  8.450
ASCC 56                  ; 2016DAML            ; 0.11 ;  8.08 
ASCC 56                  ; Kharchenko+ 2013    ; 0.135;  8.635
ASCC 57                  ; 2016DAML            ; 0.13 ;  8.70 
ASCC 57                  ; Kharchenko+ 2013    ; 0.208;  9.260
ASCC 58                  ; 2016DAML            ; 0.09 ;  7.04 
ASCC 58                  ; 2019 Bossini        ; 0.100;  7.826
ASCC 58                  ; Kharchenko+ 2013    ; 0.135;  7.200
ASCC 59                  ; 2016DAML            ; 0.05 ;  8.60 
ASCC 59                  ; Kharchenko+ 2013    ; 0.050;  8.460
ASCC 6                   ; 2016DAML            ; 0.30 ;  8.17 
ASCC 6                   ; 2019 Bossini        ; 0.281;  7.677
ASCC 6                   ; Kharchenko+ 2013    ; 0.300;  7.800
ASCC 60                  ; 2016DAML            ; 0.10 ;  8.36 
ASCC 60                  ; Kharchenko+ 2013    ; 0.156;  8.125
ASCC 61                  ; 2016DAML            ; 0.23 ;  7.96 
ASCC 61                  ; Kharchenko+ 2013    ; 0.223;  7.665
ASCC 62                  ; 2016DAML            ; 0.24 ;  7.50 
